date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:41	18520/18520	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:40%20GMT	https://htmldemo.net/kidschool/kidschool/images/portfolio/3.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/portfolio/3.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:41	12820/12820	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:41%20GMT	https://htmldemo.net/kidschool/kidschool/images/portfolio/5.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/portfolio/5.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:42	4386/4386	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:41%20GMT	https://htmldemo.net/kidschool/kidschool/images/fun/1.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/fun/1.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:42	4838/4838	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:41%20GMT	https://htmldemo.net/kidschool/kidschool/images/fun/2.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/fun/2.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:42	4570/4570	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:42%20GMT	https://htmldemo.net/kidschool/kidschool/images/fun/3.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/fun/3.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:43	4284/4284	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:42%20GMT	https://htmldemo.net/kidschool/kidschool/images/fun/4.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/fun/4.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:44	19966/19966	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:43%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/1.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/1.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:45	15809/15809	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:43%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/2.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/2.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:45	18109/18109	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:44%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/3.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/3.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:45	19479/19479	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:44%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/4.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/4.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:46	21508/21508	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:45%20GMT	https://htmldemo.net/kidschool/kidschool/images/event/1.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/event/1.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:47	34229/34229	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:45%20GMT	https://htmldemo.net/kidschool/kidschool/images/event/2.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/event/2.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:47	25563/25563	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:46%20GMT	https://htmldemo.net/kidschool/kidschool/images/class/1.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/class/1.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:48	24517/24517	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:47%20GMT	https://htmldemo.net/kidschool/kidschool/images/class/2.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/class/2.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:48	19571/19571	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:47%20GMT	https://htmldemo.net/kidschool/kidschool/images/class/3.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/class/3.jpg	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:48	3881/3881	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:47%20GMT	https://htmldemo.net/kidschool/kidschool/images/contact/1.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/contact/1.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:49	3073/3073	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:48%20GMT	https://htmldemo.net/kidschool/kidschool/images/contact/2.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/contact/2.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:49	4177/4177	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:48%20GMT	https://htmldemo.net/kidschool/kidschool/images/contact/3.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/contact/3.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:50	5461/5461	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:49%20GMT	https://htmldemo.net/kidschool/kidschool/images/contact/4.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/contact/4.png	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:50	97168/97168	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a4751-17b90%22	https://htmldemo.net/kidschool/kidschool/js/vendor/jquery-1.12.4.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/vendor/jquery-1.12.4.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:50	80452/80452	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46c2-13a44%22	https://htmldemo.net/kidschool/kidschool/js/bootstrap.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/bootstrap.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:51	80847/80847	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46dc-13bcf%22	https://htmldemo.net/kidschool/kidschool/js/owl.carousel.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/owl.carousel.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:51	11725/11725	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46d8-2dcd%22	https://htmldemo.net/kidschool/kidschool/js/jquery.meanmenu.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/jquery.meanmenu.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:51	35456/35456	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46c8-8a80%22	https://htmldemo.net/kidschool/kidschool/js/isotope.pkgd.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/isotope.pkgd.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:52	5447/5447	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46c8-1547%22	https://htmldemo.net/kidschool/kidschool/js/imagesloaded.pkgd.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/imagesloaded.pkgd.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:52	1249/1249	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46c1-4e1%22	https://htmldemo.net/kidschool/kidschool/js/ajax-mail.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/ajax-mail.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:52	2455/2455	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46d0-997%22	https://htmldemo.net/kidschool/kidschool/js/jquery.ajaxchimp.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/jquery.ajaxchimp.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:53	25542/25542	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46dc-63c6%22	https://htmldemo.net/kidschool/kidschool/js/plugins.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/plugins.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:53	43592/43592	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46d8-aa48%22	https://htmldemo.net/kidschool/kidschool/js/jquery.magnific-popup.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/jquery.magnific-popup.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:53	1075/1075	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46d0-433%22	https://htmldemo.net/kidschool/kidschool/js/jquery.counterup.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/jquery.counterup.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:53	8051/8051	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46de-1f73%22	https://htmldemo.net/kidschool/kidschool/js/waypoints.min.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/waypoints.min.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:54	8337/8337	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a46da-2091%22	https://htmldemo.net/kidschool/kidschool/js/main.js	D:/template/sembarang/htmldemo.net/kidschool/kidschool/js/main.js	(from https://htmldemo.net/kidschool/kidschool/index.html)
09:28:55	143113/143113	---MC-	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2002:28:53%20GMT	https://htmldemo.net/kidschool/kidschool/images/about/1.png	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/about/1.png	(from https://htmldemo.net/kidschool/kidschool/about.html)
09:28:55	21554/21554	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:54%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/5.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/5.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:55	21673/21673	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:55%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/6.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/6.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:56	15843/15843	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:55%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/7.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/7.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:56	19863/19863	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:56%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/8.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/8.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:57	21520/21520	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:56%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/9.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/9.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:57	20127/20127	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:56%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/10.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/10.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:57	17412/17412	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:57%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/11.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/11.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:58	20166/20166	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:57%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/15.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/15.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:59	19052/19052	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:58%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/12.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/12.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:28:59	23317/23317	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:58%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/16.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/16.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:29:00	22959/22959	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:28:59%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/13.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/13.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:29:00	15967/15967	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:29:00%20GMT	https://htmldemo.net/kidschool/kidschool/images/teacher/14.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/teacher/14.jpg	(from https://htmldemo.net/kidschool/kidschool/teacher.html)
09:29:01	33138/33138	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:29:00%20GMT	https://htmldemo.net/kidschool/kidschool/images/event/3.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/event/3.jpg	(from https://htmldemo.net/kidschool/kidschool/event.html)
09:29:01	28048/28048	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:29:01%20GMT	https://htmldemo.net/kidschool/kidschool/images/event/4.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/event/4.jpg	(from https://htmldemo.net/kidschool/kidschool/event.html)
09:29:02	27685/27685	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:29:01%20GMT	https://htmldemo.net/kidschool/kidschool/images/event/5.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/event/5.jpg	(from https://htmldemo.net/kidschool/kidschool/event.html)
09:29:02	22822/22822	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:29:01%20GMT	https://htmldemo.net/kidschool/kidschool/images/event/6.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/event/6.jpg	(from https://htmldemo.net/kidschool/kidschool/event.html)
09:29:03	22374/22374	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Nov%202022%2002:29:02%20GMT	https://htmldemo.net/kidschool/kidschool/images/event/7.jpg	D:/template/sembarang/htmldemo.net/kidschool/kidschool/images/event/7.jpg	(from https://htmldemo.net/kidschool/kidschool/event.html)
